Country,ISO3,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,5990,6467,12581,12099,16049,16173,15442,18279,17763,18214,18562,19565,18972,16528,22539,21309,19022,19294,18873,21621,19041,18088,22095,20157,22851,22898,21446,22454,23896,27400,22292,28212,26762,22844,28940,29616,24931,15675,17948,22848,14958,16789,14273,,,,,,,
SouthAfrica,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11557,12757,11656,19426,22100,20754,22371,21955,22500,29500,25700,25000,20500,20500,22500,29000,31800,34300,34800,34000,28200,26885,27621,29868,30135,29803,33861,34849,36679,35798,36614,36443,38546,40842,40844,42497,41599,37877,31700,34610,39960,43321,45945,51208,54956,56689,48994,48383,43236,43443,,,,
DominicanRepublic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,17400,28298,30492,26900,24400,24905,14302,25400,16350,19020,5958,20200,24220,25400,21900,32500,29300,31300,42148,44661,42641,37423,,46523,43560,47730,40300,39680,39943,33419,37521,45253,46000,28298,29675,29100,18800,,,13528,15186,9355,,,9913,15632,19214,28450,,,,
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16100,21700,21600,19100,21400,,,,,,,,,
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2800,2800,2800,2100,1100,1000,700,300,,,,,,,,,,,,,,,,,,,,,,,,,,,570,850,840,570,780,840,770,720,700,720,,,,
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9121,13616,16671,15701,14591,15075,13018,13301,10146,10251,9897,9732,10393,11489,11634,11442,11312,10115,11889,13516,11700,11600,11000,10400,9593,5968,8009,7835,6678,9776,9220,8825,8582,6354,4858,6133,7992,7899,12962,16633,16109,17743,16617,17850,16279,,,,
Yugoslavia,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2000,3500,1600,2200,2800,3200,3500,5600,6300,4900,3200,3000,3000,,300,3000,2700,800,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2000,3500,1600,2200,2800,3200,3500,5600,6300,4900,3200,3000,3000,,300,3000,2700,800,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2000,3500,1600,2200,2800,3200,3500,5600,6300,4900,3200,3000,3000,,300,3000,2700,800,,,,,,,,,,,,,,,,,,,,,,,,,
