,,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
germany federal republic,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15161000,14388000,12830000,15436000,16661000,18031000,12441806,12756289,13328555,12878578,11250510,8454152,,,,,,,5531,5020,4825,5069,4439,3288,256,2493,1601,1657,1945000,1572000,1304000,976000,977000,1034000,717000,247300,70000,102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goa,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888556,3025269,5764000,6294000,6033000,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,GRC,308539,294476,154812,83619,62345,66799,,43627,,,98585,98183,,123358,122522,164269,,,,45295,83875,,200922,275845,,343107,302431,,,,,,,15000,,344,2756,7286,55829,155755,86938,75946,192166,400721,,328044,153371,292496,287182,197403,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,4000,4000,5000,5000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11268,7341,31006,452,5463,1604,1160,10808,778,2035,,,,,
guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408239,336915,764000,533000,689000,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hong kong,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,59181,169374,160884,127512,123200,90800,115500,122963,94182,105125,119893,117043,117364,111537,111865,,,,,,,170,163,162,151,160,167,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hungary,HUN,2025984,1694660,1218367,,1555710,,,,,,,99130,66968,129768,191330,196395,,,,52029,49231,49000,189357,275256,284948,364091,630200,675000,,,,,47000,131000,240300,313000,34000,362000,400000,311000,353000,421000,347000,300000,273000,365229,432085,507932,595035,670738,721000,,,,,,,629,687,695,681,545,642,602,525,534,532,426000,422000,467000,441000,383000,311000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,370845,441674,390271,411758,413273,492484,563750,,,,721639,655118,,1659295,1846735,2055981,,,,1760501,1228625,1916918,2341212,2526931,2870832,2743675,3116074,3103356,3194478,3217430,2655173,2364000,2264184,2407682,2498459,2284587,2808522,2965194,3656651,3925511,3854865,4308273,4677538,4857914,5074000,6032896,7855757,10514563,12075779,13150643,14690056,,,,,,,31366,33450,35476,35562,35485,41794,43868,42598,38838,39534,41936000,41460000,41997000,37584000,41570000,44186000,51610000,49411000,49961000,51434000,53702000,56915000,54870000,55818000,58000000,67418000,68173000,75723000,72230000,73475000,80762000,86226000,99072000,122838000,142711000,165230000,187696000,213246000,215437000,213370900,207157000,168582000,136618000,152433000,129103000,158108000,194584000,201426000,206446000,242830000
indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,292,312,218,200,74742,86626,137000,124903,82967,130930,153271,193986,202778,142654,142143,173242,287821,341335,334895,348371,425101,487354,564424,562912,489126,469400,378500,245400,89700,32203,5489,,,,8975507,11814544,11545752,20000000,3000000,3838546,3800000,1955926,1321249,3450000
iran,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146258,57330,56700,41000,10000,,,,,,,,,,,,,022,1100,100,1500,600,600000,600000,750000,850000,850000,2799000,28000000,2800000,2004832,,2611388,3888100,4193650,8652900,8690000,6463440,7426606,6217727,6000000,6000000,12208437,14835692,16906035,18287228,18204658,26243837,31537545,35195000,38200000,38200000,35548974,38260000,43497000,48693000,50000000,58485696,65001032,75843536,93365420,93365000
