ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32,6.096,,284.48,264.16,254.0,18.288,1.016,,,,,103.0,222.0,384.0,399.0,326.0,9364.0,15239.0,36781.0,29528.0,28762.0,47114.0,29247.0,19634.0,13900.0,11894.0,28158.0,12745.0,8510.0,10349.0,18049.0,15818.0,13707.0,14005.0,10000.0,9845.0,15075.0,15003.0,18133.0,20685.0,9374.0,20200.0,27176.0,24234.0,19537.0,16973.0,22560.0,64705.0,91367.0,80645.0,137350.0,184330.0,319354.0,317621.0,315633.0,363352.0,418292.0,300506.0,339377.0,344966.0,323325.0,,,,
PNG,papuanewguinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9516.0,12918.0,16725.0,25582.0,22269.0,34666.0,35355.0,33091.0,,,,
POL,PolandPoland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.048,2.032,,2.032,,,,,,,,,,,1500.0,1500.0,1500.0,2000.0,2000.0,2500.0,2800.0,2800.0,2800.0,2100.0,1100.0,1000.0,700.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,1620.0,1560.0,1270.0,1500.0,840.0,770.0,720.0,700.0,720.0,,,,
RUS,Russia,,,,,,,,,,,,,,,87.376,,86.36,119.888,1.016,11.176,9.144,,,,,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2093.976,4646.168,11066.272,110000.0,110000.0,115000.0,115000.0,125000.0,125000.0,130000.0,135000.0,140000.0,150000.0,143000.0,150000.0,170000.0,172000.0,175000.0,190000.0,185000.0,195000.0,205000.0,210000.0,212000.0,200000.0,174000.0,196400.0,212000.0,224000.0,230000.0,235000.0,235000.0,235000.0,266000.0,272800.0,267300.0,291000.0,290000.0,277200.0,277000.0,279800.0,266800.0,261900.0,270000.0,270000.0,268700.0,264000.0,264000.0,261000.0,223000.0,221000.0,218000.0,226000.0,,,,
SRB,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2000.0,3500.0,1600.0,2200.0,2800.0,3200.0,3500.0,5600.0,6300.0,4900.0,3200.0,3000.0,3000.0,,300.0,3000.0,2700.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2000.0,3500.0,1600.0,2200.0,2800.0,3200.0,3500.0,5600.0,6300.0,4900.0,3200.0,3000.0,3000.0,,300.0,3000.0,2700.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,Sweden,499.872,484.632,770.128,798.576,699.008,,,,,,,,,,162.56,409.448,437.896,875.792,531.368,944.88,994.664,1332.992,1235.456,1271.016,876.808,1244.6,1106.424,1006.856,907.288,911.352,577.088,529.336,516.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,1900.0,1700.0,,11300.0,2539.0,848.0,3805.0,1076.0,2400.0,8637.0,9337.0,14770.0,13559.0,11000.0,,,,
UKR,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900.0,2500.0,1000.0,2200.0,1700.0,,,,,1500.0,2000.0,2000.0,2000.0,6000.0,12000.0,12000.0,8000.0,,,,,,,,,,,,,,,
USA,UnitedStates,,,,,,,,,,,44.704,1.016,6.096,,,,,,,,,,,,,121.92,,,,,,,12.192,,,,,,,,,,,,,,,,,,,,,,,,,14454.0,15455.0,15299.0,16576.0,15076.0,15410.0,14940.0,13015.0,12255.0,13667.0,13293.0,10976.0,2906.0,,13190.0,5558.0,1066.0,,,,330.0,5523.0,6671.0,2464.0,,1560.0,1330.0,,,,,,,,,,,,,,,4093.0,,,,27167.0,23417.0,21302.0,17573.0,13494.0,,,,
VEN,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.264,1274.064,1253.744,1317.752,1322.832,1219.2,1204.976,1832.864,1320.8,1524.0,1524.0,1524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472.0,10600.0,17000.0,18800.0,19000.0,18500.0,18200.0,17200.0,11900.0,11400.0,12063.0,13400.0,8100.0,,2500.0,2581.0,,,,,,,,
VNM,vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166.0,6854.0,,,8607.0,4272.0,,,,,,,
XKX,kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.0,3956.0,9100.0,7728.0,4436.0,7607.0,6724.0,7418.0,4265.0,7120.0,4791.0,3314.0,,,,
ZAF,UnionofSouthAfricaSouthAfrica,,,,,,,,,,,,,,,,,,,,,,,208.28,148.336,254.0,321.056,,,,,44.704,46.736,,,,,,,,,,,,,,184.912,240.792,254.0,258.064,286.512,274.32,336.296,359.664,390.144,375.92,304.8,13.208,11557.0,12757.0,11656.0,19426.0,22100.0,20754.0,22371.0,21955.0,22500.0,29500.0,25700.0,25000.0,20500.0,20500.0,22500.0,29000.0,31800.0,34300.0,34800.0,34000.0,28200.0,26885.0,27621.0,29868.0,30135.0,29803.0,33861.0,34849.0,36679.0,35798.0,36614.0,36443.0,38546.0,40842.0,40844.0,42497.0,41599.0,37877.0,31700.0,34610.0,39960.0,43321.0,45945.0,51208.0,54956.0,56689.0,48994.0,48383.0,43236.0,43443.0,,,,
ZMB,zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,1500.0,2809.0,2869.0,,,,,,487.0,2500.0,,,,,
ZWE,SouthernRhodesia(estimated)SouthernRhodesiaRhodesiaZimbabwe,,,,,,,,,,,,,,,,,,,,,314.96,,5.08,477.52,103.632,374.904,25.4,,,,,,304.8,,,,,,,,,,,,,71.12,71.12,96.52,110.744,117.85600000000001,1122.68,2743.2,3958.3360000000002,5447.7919999999995,7065.263999999999,9408.16,8128.0,11000.0,11600.0,12000.0,11800.0,11500.0,9121.0,13616.0,16671.0,15701.0,14591.0,15075.0,13018.0,13301.0,10146.0,10251.0,9897.0,9732.0,10393.0,11489.0,11634.0,11442.0,11312.0,10115.0,11889.0,13516.0,11700.0,11600.0,11000.0,10400.0,9593.0,5968.0,8009.0,7835.0,6678.0,9776.0,9220.0,8825.0,8582.0,6354.0,4858.0,6133.0,7992.0,7899.0,12962.0,16633.0,16109.0,17743.0,16617.0,17850.0,16279.0,,,,
